pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,18,1,73,1,,,,,176.22652329993434,,176.2132843999425,176.22652329993434,177.22642860002816,177.22642860002816,177.22642860002816,177.22642860002816,177.22642860002816,178.22644020000007,178.22644020000007,178.5442179000238,v,1,0.309986500069499,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,18,2,74,2,,,,,178.5593857000349,,178.5461802999489,178.5593857000349,179.55920519994106,179.55920519994106,179.55920519994106,179.55920519994106,179.55920519994106,180.55888190004043,180.55888190004043,180.94321980001405,c,1,0.3738752000499517,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,18,3,75,3,,,,,180.95862229994964,,180.94476460001897,180.95862229994964,181.9588262999896,181.9588262999896,181.9588262999896,181.9588262999896,181.9588262999896,182.95845459995326,182.95845459995326,183.3430097999517,z,1,0.3828703999752179,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,19,0,76,0,,,,,183.35785709996708,,183.34430250001606,183.35785709996708,184.35761790000834,184.35761790000834,184.35761790000834,184.35761790000834,184.35761790000834,185.3573853999842,185.3573853999842,185.7747494999785,x,1,0.4008281999267638,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,19,1,77,1,,,,,185.79064160003327,,185.77599380002357,185.79064160003327,186.790456000017,186.790456000017,186.790456000017,186.790456000017,186.790456000017,187.79017960000783,187.79017960000783,188.09131129994057,v,1,0.2941422000294551,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,19,2,78,2,,,,,188.10667549993377,,188.09260430000722,188.10667549993377,189.10682079999242,189.10682079999242,189.10682079999242,189.10682079999242,189.10682079999242,190.10651810001582,190.10651810001582,190.47430879995227,c,1,0.3662404000060633,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,19,3,79,3,,,,,190.48926679999568,,190.4759713000385,190.48926679999568,191.48896989994682,191.48896989994682,191.48896989994682,191.48896989994682,191.48896989994682,192.4889580999734,192.4889580999734,193.00703540001996,z,1,0.5103064000140876,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,20,0,80,0,,,,,193.0218581999652,,193.00924279994797,193.0218581999652,194.0221060999902,194.0221060999902,194.0221060999902,194.0221060999902,194.0221060999902,195.0215334999375,195.0215334999375,195.7738586999476,x,1,0.7502239999594167,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,20,1,81,1,,,,,195.78811940003652,,195.77627150004264,195.78811940003652,196.7877905999776,196.7877905999776,196.7877905999776,196.7877905999776,196.7877905999776,197.78742910001893,197.78742910001893,198.08835899992846,v,1,0.2924984000856057,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,20,2,82,2,,,,,198.1038918000413,,198.0898099000333,198.1038918000413,199.1040592000354,199.1040592000354,199.1040592000354,199.1040592000354,199.1040592000354,200.10379630001262,200.10379630001262,200.6045393999666,c,1,0.48449950001668185,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
